Local authority,Library name,Address 1,Address 2,Address 3,Postcode,Unique property reference number,Statutory,Library type,Year opened,Year closed,Monday staffed hours,Tuesday staffed hours,Wednesday staffed hours,Thursday staffed hours,Friday staffed hours,Saturday staffed hours,Sunday staffed hours,Monday unstaffed hours,Tuesday unstaffed hours,Wednesday unstaffed hours,Thursday unstaffed hours,Friday unstaffed hours,Saturday unstaffed hours,Sunday unstaffed hours,Special hours,Co-located,Co-located with,Notes,URL,Email address
Midlothian,Dalkeith Library,2 White Hart Street,,Dalkeith ,EH22 1AE,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.midlothian.gov.uk/directory_record/58/dalkeith_library,
Midlothian,Danderhall Library,1a Campview,,Danderhall ,EH22 1QD,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.midlothian.gov.uk/directory_record/59/danderhall_library,
Midlothian,Gorebridge Library,98 Hunterfield Road,,Gorebridge ,EH23 4TT,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.midlothian.gov.uk/directory_record/60/gorebridge_library,
Midlothian,Lasswade Library,The Lasswade Centre,,19 Eskdale Drive,EH19 2LA,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.midlothian.gov.uk/directory_record/57/lasswade_library,
Midlothian,Loanhead Library,George Avenue,, Loanhead ,EH20 9LA,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.midlothian.gov.uk/directory_record/61/loanhead_library,
Midlothian,Mayfield Library,1 Stone Avenue,,Dalkeith ,EH22 5PB,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.midlothian.gov.uk/directory_record/62/mayfield_library,
Midlothian,Newbattle Library,Newbattle Community Campus,,1 Newbattle Way,EH22 4SX,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.midlothian.gov.uk/directory_record/20096725/newbattle_library,
Midlothian,Newtongrange Library,St Davids,,Newtongrange ,EH22 4LG,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.midlothian.gov.uk/directory_record/63/newtongrange_library,
Midlothian,Penicuik Library,Carlops Road,,Penicuik ,EH26 9EP,,No,LAL,,,,,,,,,,,,,,,,,,No,,,https://www.midlothian.gov.uk/directory_record/64/penicuik_library,
